File A,File B,Similarity,n
UCSB37,UC64,1.0,3.0
UCSB37,UC64,0.9929695624459459,4.0
UCSB37,UC64,0.9826856684860608,5.0
UCSB37,UC64,0.5865879650321943,6.0
UCSB37,UC64,0.825005802033276,7.0
UCSB37,UC64,0.8808775817330037,8.0
UCSB37,Mich67,1.0,3.0
UCSB37,Mich67,0.9962459538006874,4.0
UCSB37,Mich67,0.9984283575080072,5.0
UCSB37,Mich67,0.9511503600527781,6.0
UCSB37,Mich67,0.9938836376098024,7.0
UCSB37,Mich67,0.788556377833686,8.0
UCSB37,Brown11,1.0,3.0
UCSB37,Brown11,0.9962619023788684,4.0
UCSB37,Brown11,0.9928896473977019,5.0
UCSB37,Brown11,0.97230800078293,6.0
UCSB37,Brown11,0.9347745525495977,7.0
UCSB37,Brown11,0.9061651405190656,8.0
UCSB37,Wake73,1.0,3.0
UCSB37,Wake73,0.9946608207742856,4.0
UCSB37,Wake73,0.9711828166534304,5.0
UCSB37,Wake73,0.8523443266250397,6.0
UCSB37,Wake73,0.6751246928502297,7.0
UCSB37,Wake73,0.8880418922602323,8.0
UCSB37,MSU24,1.0,3.0
UCSB37,MSU24,-0.32950269798116927,4.0
UCSB37,MSU24,0.36393256252948547,5.0
UCSB37,MSU24,0.27932026503831425,6.0
UCSB37,MSU24,0.30575998670031956,7.0
UCSB37,Stanford3,1.0,3.0
UCSB37,Stanford3,0.9999997111775351,4.0
UCSB37,Stanford3,0.9985674247534507,5.0
UCSB37,Stanford3,0.9969189188569951,6.0
UCSB37,Stanford3,0.9856745239001286,7.0
UCSB37,Stanford3,0.963118473975746,8.0
UCSB37,Duke14,1.0,3.0
UCSB37,Duke14,0.9958429902083281,4.0
UCSB37,Duke14,0.9516437882006547,5.0
UCSB37,Duke14,0.6263401533023998,6.0
UCSB37,Duke14,0.45056965684535943,7.0
UCSB37,Duke14,0.8378862148518635,8.0
UCSB37,UCSC68,1.0,3.0
UCSB37,UCSC68,0.9999711924403407,4.0
UCSB37,UCSC68,0.9990916514093499,5.0
UCSB37,UCSC68,0.9480966613108214,6.0
UCSB37,UCSC68,0.9785623544190047,7.0
UCSB37,UCSC68,0.41169154351634,8.0
UCSB37,Rice31,1.0,3.0
UCSB37,Rice31,0.9999900041103864,4.0
UCSB37,Rice31,0.9976248649306035,5.0
UCSB37,Rice31,0.9285742685183938,6.0
UCSB37,Rice31,0.9628906607660338,7.0
UCSB37,Rice31,0.2908807189389479,8.0
UCSB37,Tulane29,1.0,3.0
UCSB37,Tulane29,0.9988647832899037,4.0
UCSB37,Tulane29,0.9814383815867516,5.0
UCSB37,Tulane29,0.7655126212609379,6.0
UCSB37,Tulane29,0.5966301625431955,7.0
UCSB37,Tulane29,0.8651659953456262,8.0
UCSB37,Lehigh96,1.0,3.0
UCSB37,Lehigh96,0.9968449942764921,4.0
UCSB37,Lehigh96,0.9862790678058954,5.0
UCSB37,Lehigh96,0.9414332261000535,6.0
UCSB37,Lehigh96,0.7396272705917157,7.0
UCSB37,Lehigh96,0.7855367119964517,8.0
UCSB37,NYU9,1.0,3.0
UCSB37,NYU9,0.17935181524639504,4.0
UCSB37,NYU9,0.5005559242317401,5.0
UCSB37,NYU9,0.254811781698817,6.0
UCSB37,NYU9,0.3366406304221769,7.0
UCSB37,NYU9,0.8387351021031171,8.0
UCSB37,Penn94,1.0,3.0
UCSB37,Penn94,-0.4476444603048705,4.0
UCSB37,Penn94,0.3904378494294146,5.0
UCSB37,Penn94,0.2567673971641364,6.0
UCSB37,Penn94,0.3213720027147503,7.0
UCSB37,Syracuse56,1.0,3.0
UCSB37,Syracuse56,0.9883144567611635,4.0
UCSB37,Syracuse56,0.9218997851973834,5.0
UCSB37,Syracuse56,0.5989335308369516,6.0
UCSB37,Syracuse56,0.45974363532892826,7.0
UCSB37,Syracuse56,0.8301625322484723,8.0
UCSB37,UC61,1.0,3.0
UCSB37,UC61,0.9994384228415651,4.0
UCSB37,UC61,0.9997553175421123,5.0
UCSB37,UC61,0.5054975437834011,6.0
UCSB37,UC61,0.9918814527988618,7.0
UCSB37,UC61,0.26383511122011594,8.0
UCSB37,Trinity100,1.0,3.0
UCSB37,Trinity100,0.9999601693874318,4.0
UCSB37,Trinity100,0.9957953864690737,5.0
UCSB37,Trinity100,0.9175112641241117,6.0
UCSB37,Trinity100,0.9535098738269798,7.0
UCSB37,Trinity100,0.26238448608873094,8.0
UCSB37,UCSD34,1.0,3.0
UCSB37,UCSD34,0.5393466299226468,4.0
UCSB37,UCSD34,0.5077497686090786,5.0
UCSB37,UCSD34,0.2800140127025169,6.0
UCSB37,UCSD34,0.3167485796555495,7.0
UCSB37,UCSD34,0.8270650414681531,8.0
UCSB37,Maine59,1.0,3.0
UCSB37,Maine59,0.9847520025721614,4.0
UCSB37,Maine59,0.9216441212735315,5.0
UCSB37,Maine59,0.5839270402224936,6.0
UCSB37,Maine59,0.4398968335639579,7.0
UCSB37,Maine59,0.8526847850590759,8.0
UCSB37,MIT8,1.0,3.0
UCSB37,MIT8,0.9996928238746703,4.0
UCSB37,MIT8,0.999756042576472,5.0
UCSB37,MIT8,0.994326400054672,6.0
UCSB37,MIT8,0.9930124409928387,7.0
UCSB37,MIT8,0.8621492327504974,8.0
UCSB37,UGA50,1.0,3.0
UCSB37,UGA50,0.9448096664195534,4.0
UCSB37,UGA50,0.7238036360563189,5.0
UCSB37,UGA50,0.32968907497212674,6.0
UCSB37,UGA50,0.32540744868812865,7.0
UCSB37,Brandeis99,1.0,3.0
UCSB37,Brandeis99,0.3565529384404267,4.0
UCSB37,Brandeis99,0.4335988356770281,5.0
UCSB37,Brandeis99,0.30188395345371505,6.0
UCSB37,Brandeis99,0.3044492176351126,7.0
UCSB37,Brandeis99,0.8100502449817805,8.0
UCSB37,UCF52,1.0,3.0
UCSB37,UCF52,-0.49400417188033563,4.0
UCSB37,UCF52,0.36162867608228705,5.0
UCSB37,UCF52,0.2729582527451699,6.0
UCSB37,UCF52,0.309009985972656,7.0
UCSB37,UCF52,0.8218277257480429,8.0
UCSB37,UPenn7,1.0,3.0
UCSB37,UPenn7,0.9978862856585828,4.0
UCSB37,UPenn7,0.9680710344973942,5.0
UCSB37,UPenn7,0.742569238734232,6.0
UCSB37,UPenn7,0.5435609249744244,7.0
UCSB37,UPenn7,0.8767531432107293,8.0
UCSB37,FSU53,1.0,3.0
UCSB37,FSU53,0.9090648384855754,4.0
UCSB37,FSU53,0.6828769577825381,5.0
UCSB37,FSU53,0.3005480264234732,6.0
UCSB37,FSU53,0.32006259928740216,7.0
UCSB37,Caltech36,1.0,3.0
UCSB37,Caltech36,0.999926502650102,4.0
UCSB37,Caltech36,0.9978544163381677,5.0
UCSB37,Caltech36,0.9241092274111559,6.0
UCSB37,Caltech36,0.9617002439918957,7.0
UCSB37,Caltech36,0.2733248084729991,8.0
UCSB37,Rochester38,1.0,3.0
UCSB37,Rochester38,0.9753935895140229,4.0
UCSB37,Rochester38,0.8632538882575967,5.0
UCSB37,Rochester38,0.5051710088008404,6.0
UCSB37,Rochester38,0.39007965747214074,7.0
UCSB37,Rochester38,0.8276739017180089,8.0
UCSB37,Oberlin44,1.0,3.0
UCSB37,Oberlin44,0.9979934586969322,4.0
UCSB37,Oberlin44,0.9996882276255161,5.0
UCSB37,Oberlin44,0.962464008305811,6.0
UCSB37,Oberlin44,0.9937901079618342,7.0
UCSB37,Oberlin44,0.5136733209936509,8.0
UCSB37,Vanderbilt48,1.0,3.0
UCSB37,Vanderbilt48,0.966613422690887,4.0
UCSB37,Vanderbilt48,0.7724083977124547,5.0
UCSB37,Vanderbilt48,0.4346077263333344,6.0
UCSB37,Vanderbilt48,0.3509009636818601,7.0
UCSB37,Vanderbilt48,0.8221297969097352,8.0
UCSB37,USF51,1.0,3.0
UCSB37,USF51,0.8995342647897483,4.0
UCSB37,USF51,0.9486521394113492,5.0
UCSB37,USF51,0.010893222705937672,6.0
UCSB37,USF51,0.6903399261742342,7.0
UCSB37,USF51,0.8101931475134669,8.0
UCSB37,GWU54,1.0,3.0
UCSB37,GWU54,0.7747426689302175,4.0
UCSB37,GWU54,0.6286345644507499,5.0
UCSB37,GWU54,0.3145478313403731,6.0
UCSB37,GWU54,0.33587396288667426,7.0
UCSB37,GWU54,0.8306447026963517,8.0
UCSB37,WashU32,1.0,3.0
UCSB37,WashU32,0.974216721251649,4.0
UCSB37,WashU32,0.8557719019296917,5.0
UCSB37,WashU32,0.4823710501494999,6.0
UCSB37,WashU32,0.3990612046949765,7.0
UCSB37,WashU32,0.8285242946346413,8.0
UCSB37,USC35,1.0,3.0
UCSB37,USC35,0.030662935418577557,4.0
UCSB37,USC35,0.3991865692983218,5.0
UCSB37,USC35,0.28063045698944217,6.0
UCSB37,USC35,0.30766280016115477,7.0
UCSB37,USC35,0.8193570670489335,8.0
UCSB37,JohnsHopkins55,1.0,3.0
UCSB37,JohnsHopkins55,0.9976445141454315,4.0
UCSB37,JohnsHopkins55,0.9908249102539118,5.0
UCSB37,JohnsHopkins55,0.9447033041360211,6.0
UCSB37,JohnsHopkins55,0.8870711345961202,7.0
UCSB37,JohnsHopkins55,0.9313713390248638,8.0
UCSB37,Cal65,1.0,3.0
UCSB37,Cal65,0.999263051720467,4.0
UCSB37,Cal65,0.9975311027077249,5.0
UCSB37,Cal65,0.9336624026000461,6.0
UCSB37,Cal65,0.9650523589286483,7.0
UCSB37,Cal65,0.3408158749499279,8.0
UCSB37,BU10,1.0,3.0
UCSB37,BU10,0.9177411077084202,4.0
UCSB37,BU10,0.6872019113972695,5.0
UCSB37,BU10,0.32239978556840476,6.0
UCSB37,BU10,0.337096289329647,7.0
UCSB37,BU10,0.8331349581756029,8.0
UCSB37,Princeton12,1.0,3.0
UCSB37,Princeton12,0.9997595781304365,4.0
UCSB37,Princeton12,0.9982420924416969,5.0
UCSB37,Princeton12,0.930475944319714,6.0
UCSB37,Princeton12,0.9658627046233594,7.0
UCSB37,Princeton12,0.3033365277341674,8.0
UCSB37,Maryland58,1.0,3.0
UCSB37,Maryland58,-0.09063954423793075,4.0
UCSB37,Maryland58,0.3875779258448767,5.0
UCSB37,Maryland58,0.28060289005017963,6.0
UCSB37,Maryland58,0.3047294700243388,7.0
UCSB37,Maryland58,0.8176235962224013,8.0
UCSB37,Amherst41,1.0,3.0
UCSB37,Amherst41,0.9999743950864178,4.0
UCSB37,Amherst41,0.9976258463514956,5.0
UCSB37,Amherst41,0.9247868078519002,6.0
UCSB37,Amherst41,0.960160074298987,7.0
UCSB37,Amherst41,0.2808677097468432,8.0
UCSB37,Vassar85,1.0,3.0
UCSB37,Vassar85,0.9999648954559872,4.0
UCSB37,Vassar85,0.9972624689216537,5.0
UCSB37,Vassar85,0.9252241924326733,6.0
UCSB37,Vassar85,0.9604692723540159,7.0
UCSB37,Vassar85,0.2823094755250614,8.0
UCSB37,USFCA72,1.0,3.0
UCSB37,USFCA72,0.9990443629939192,4.0
UCSB37,USFCA72,0.9999734773382539,5.0
UCSB37,USFCA72,0.9644919104599572,6.0
UCSB37,USFCA72,0.9869926361016615,7.0
UCSB37,USFCA72,0.4691508214227592,8.0
UCSB37,Wesleyan43,1.0,3.0
UCSB37,Wesleyan43,0.9999345974993815,4.0
UCSB37,Wesleyan43,0.9979312826200869,5.0
UCSB37,Wesleyan43,0.9263937595009263,6.0
UCSB37,Wesleyan43,0.9626001736518172,7.0
UCSB37,Wesleyan43,0.28787837594544285,8.0
UCSB37,Yale4,1.0,3.0
