,m,n,p,H,K,rec,exp,err
0,3,10,0.5,0-1-1,2,16.03174603174603163324718479998409748077392578125,19.99999999999999888977697538,-0.247524752475247464277372232
1,3,20,0.5,0-1-1,2,228.222222222222256959867081604897975921630859375,189.9999999999999894528812660,0.1674780915287246130490370755
2,3,30,0.5,0-1-1,2,689.3015873015873467011260800063610076904296875,676.6666666666666291041210002,0.0183300326993046828285873372
3,3,40,0.5,0-1-1,2,1743.301587301587233014288358390331268310546875,1646.666666666666575258304306,0.0554321302400116698665124733
4,3,50,0.5,0-1-1,2,3330.39682539682553397142328321933746337890625,3266.666666666666485330239311,0.0191359054405072082503946164
5,3,60,0.5,0-1-1,2,5733.6666666666669698315672576427459716796875,5703.333333333333016734734145,0.0052903900935993171605672680
6,3,70,0.5,0-1-1,2,9358.68253968254066421650350093841552734375,9123.333333333332826886596934,0.0251476856225525099288317425
7,3,80,0.5,0-1-1,2,13302.761904761902769678272306919097900390625,13693.33333333333257320063581,-0.029360175831728560135396710
8,3,90,0.5,0-1-1,2,19440.85714285714129800908267498016357421875,19579.99999999999891309165889,-0.007157238804873413750802307
9,3,100,0.5,0-1-1,2,26886.0634920634911395609378814697265625,26949.99999999999850397447432,-0.002378053892321604097994801
10,3,110,0.5,0-1-1,2,35682.7142857142825960181653499603271484375,35969.99999999999800326389021,-0.008051117187593865082568335
11,3,120,0.5,0-1-1,2,47219.1428571428623399697244167327880859375,46806.66666666666406837471471,0.0087353595494968371888354566
12,3,130,0.5,0-1-1,2,59886.3650793650813284330070018768310546875,59626.66666666666335672175592,0.0043365198798466014553539696
13,3,140,0.5,0-1-1,2,75959.619047619053162634372711181640625,74596.66666666666252571982200,0.0179431176464689266517245689
14,3,150,0.5,0-1-1,2,91747.380952380946837365627288818359375,91883.33333333332823278372101,-0.001481812118679920525192416
15,3,160,0.5,0-1-1,2,112750.76190476189367473125457763671875,111653.3333333333271353282612,0.0097332253271648885885074702
16,3,170,0.5,0-1-1,2,135766,134073.3333333333258907682506,0.0124675299166704042929139063
17,3,180,0.5,0-1-1,2,161928.28571428571012802422046661376953125,159309.9999999999911565184974,0.0161694153849411584944410889
18,3,190,0.5,0-1-1,2,188213.93650793653796426951885223388671875,187529.9999999999895899938096,0.0036338250005610417919463941
19,3,200,0.5,0-1-1,2,219197.79365079363924451172351837158203125,218899.9999999999878486089955,0.0013585613515255982062120561
20,3,210,0.5,0-1-1,2,254838.634920634911395609378814697265625,253586.6666666666525897788631,0.0049127882605326412983741608
21,3,220,0.5,0-1-1,2,291631.619047619053162634372711181640625,291756.6666666666504709182206,-0.000428786218229577206998836
22,3,230,0.5,0-1-1,2,335278.0793650793493725359439849853515625,333576.6666666666481494418760,0.0050746314868979491544747846
23,3,240,0.5,0-1-1,2,380362.3650793650303967297077178955078125,379213.3333333333122827646378,0.0030208870580346857417900946
24,3,250,0.5,0-1-1,2,429118.03174603171646595001220703125,428833.3333333333095283013136,0.0006634501270897472507893330
25,3,260,0.5,0-1-1,2,491140.96825396828353404998779296875,482603.3333333333065434667120,0.0173832676817548202072099996
26,3,270,0.5,0-1-1,2,544967.079365079291164875030517578125,540689.9999999999699856756406,0.0078483261228593587052900187
27,3,280,0.5,0-1-1,2,598572.142857142840512096881866455078125,603259.9999999999665123429082,-0.007831732897693411562386176
28,3,290,0.5,0-1-1,2,666799.571428571478463709354400634765625,670479.9999999999627808833226,-0.005519542496920661379407826
29,3,300,0.5,0-1-1,2,747365.761904762010090053081512451171875,742516.6666666666254487116916,0.0064882491080897447432584731
30,3,310,0.5,0-1-1,2,822594.301587301655672490596771240234375,819536.6666666666211732428238,0.0037170630950578360368207724
31,3,320,0.5,0-1-1,2,898735.5079365079291164875030517578125,901706.6666666666166118915271,-0.003305932283659797251823107
32,3,330,0.5,0-1-1,2,990645.4603174603544175624847412109375,989193.3333333332784220726098,0.0014658392354230646272716982
33,3,340,0.5,0-1-1,2,1092779.68253968260250985622406005859375,1082163.333333333273261200880,0.0097149950497581775471109836
34,3,350,0.5,0-1-1,2,1173090.98412698437459766864776611328125,1180783.333333333267786691145,-0.006557333838920898442826151
35,3,360,0.5,0-1-1,2,1276704.82539682532660663127899169921875,1285219.999999999928655958215,-0.006669650207147854969157419
36,3,370,0.5,0-1-1,2,1399862.71428571431897580623626708984375,1395639.999999999922526416896,0.0030165202934696733468850385
