,m,n,p,H,K,rec,exp,err,time
0,3,10,0.5,0-1-1,2,16.3174603174603163324718479998409748077392578125,19.99999999999999888977697538,-0.225680933852140094499822801,0.04975700378417969
1,3,20,0.5,0-1-1,2,188.761904761904730776223004795610904693603515625,189.9999999999999894528812660,-0.006559031281533914353546356,0.06647491455078125
2,3,30,0.5,0-1-1,2,651.6825396825397547218017280101776123046875,676.6666666666666291041210002,-0.038337879968822898279072988,0.12784695625305176
3,3,40,0.5,0-1-1,2,1617.9365079365079509443603456020355224609375,1646.666666666666575258304306,-0.017757284410870139464616044,0.21303606033325195
4,3,50,0.5,0-1-1,2,3143.26984126984098111279308795928955078125,3266.666666666666485330239311,-0.039257471241150189771991325,0.27880311012268066
5,3,60,0.5,0-1-1,2,5701.25396825396819622255861759185791015625,5703.333333333333016734734145,-0.000364720654603926436662233,0.3851938247680664
6,3,70,0.5,0-1-1,2,9140.793650793651977437548339366912841796875,9123.333333333332826886596934,0.0019101533332177511282988226,0.5275931358337402
7,3,80,0.5,0-1-1,2,13815.5238095238091773353517055511474609375,13693.33333333333257320063581,0.0088444331083736333564753046,0.7051939964294434
8,3,90,0.5,0-1-1,2,19902.23809523809541133232414722442626953125,19579.99999999999891309165889,0.0161910481472531837868229234,0.8734967708587646
9,3,100,0.5,0-1-1,2,27466.82539682539572822861373424530029296875,26949.99999999999850397447432,0.0188163498823978285080570171,1.088366985321045
10,3,110,0.5,0-1-1,2,35794.3174603174556978046894073486328125,35969.99999999999800326389021,-0.004908112576173821450943447,1.3331868648529053
11,3,120,0.5,0-1-1,2,46703.0634920634911395609378814697265625,46806.66666666666406837471471,-0.002218337874576017631280161,1.8764591217041016
12,3,130,0.5,0-1-1,2,60818.4285714285724679939448833465576171875,59626.66666666666335672175592,0.0195954077202477717898709431,2.0213749408721924
13,3,140,0.5,0-1-1,2,75232.603174603180377744138240814208984375,74596.66666666666252571982200,0.0084529377038915966444747023,2.314141273498535
14,3,150,0.5,0-1-1,2,91031.968253968239878304302692413330078125,91883.33333333332823278372101,-0.009352374728291957898271246,2.5983827114105225
15,3,160,0.5,0-1-1,2,108208.571428571434807963669300079345703125,111653.3333333333271353282612,-0.031834464306145862358137546,2.9675490856170654
16,3,170,0.5,0-1-1,2,133622.17460317458608187735080718994140625,134073.3333333333258907682506,-0.003376376200271936092247481,3.4110991954803467
17,3,180,0.5,0-1-1,2,157923.06349206352024339139461517333984375,159309.9999999999911565184974,-0.008782355643741497586316735,3.83774733543396
