,m,n,p,H,K,rec,exp,err,time
0,3,10,0.5,0-1-2-1,3,19.529239766081872,29.53125,-0.5121556370714178,2.8066070079803467
1,3,70,0.5,0-1-2-1,3,124465.82456140353,128938.359375,-0.0359338382994443,36.071101903915405
2,3,130,0.5,0-1-2-1,3,1572846.4795321636,1597342.5,-0.015574323868609685,99.68347215652466
3,3,190,0.5,0-1-2-1,3,7150422.611111111,7397179.453125,-0.03450940670701774,232.68011093139648
4,3,250,0.5,0-1-2-1,3,21960724.62865497,22342886.71875,-0.017402071040787614,362.11144399642944
5,3,310,0.5,0-1-2-1,3,52952471.46783626,53071401.796875,-0.002245982590462825,558.4028968811035
6,3,370,0.5,0-1-2-1,3,107696894.14912279,108042162.1875,-0.003205923820784884,786.619087934494
7,3,430,0.5,0-1-2-1,3,196210315.95321634,197537105.390625,-0.006762077880375195,1084.2070651054382
8,3,490,0.5,0-1-2-1,3,332438482.9912281,333660668.90625,-0.0036764273017517723,1412.9983248710632
9,3,550,0.5,0-1-2-1,3,526498241.37134504,530339790.234375,-0.007296413475236019,1780.5453188419342
10,3,610,0.5,0-1-2-1,3,804823832.1608187,803323906.875,0.0018636690737544592,2434.407244205475
11,3,670,0.5,0-1-2-1,3,1176595608.871345,1170184956.328125,0.005448475665627783,3032.5840280056
12,3,730,0.5,0-1-2-1,3,1641731967.6345026,1650317376.09375,-0.005229482417655307,3306.790041208267
13,3,790,0.5,0-1-2-1,3,2262806568.6637425,2264938103.671875,-0.0009419872814808716,3820.2087149620056
14,3,850,0.5,0-1-2-1,3,3047586525.2280707,3037086576.5625,0.0034453324224437143,4444.868961811066
15,3,910,0.5,0-1-2-1,3,3965637680.6111107,3991624732.265625,-0.006553057477129309,6261.491522073746
16,3,970,0.5,0-1-2-1,3,5169637960.27193,5155237008.28125,0.0027856790168575563,5595.906330108643
