,m,n,p,s,K,corr,ind,time
0,20,100,0.0,0.7,4,1.0,1.0,10.792550802230835
1,20,100,0.05,0.7,4,0.55,0.55,114.73143482208252
2,20,100,0.1,0.7,4,0.5,0.4,117.06844115257263
3,20,100,0.15000000000000002,0.7,4,0.45,0.55,180.69390320777893
4,20,100,0.2,0.7,4,0.55,0.45,169.74777817726135
5,20,100,0.25,0.7,4,0.45,0.2,140.45923900604248
6,20,100,0.30000000000000004,0.7,4,0.35,0.55,152.60470366477966
7,20,100,0.35000000000000003,0.7,4,0.4,0.55,122.31303691864014
8,20,100,0.4,0.7,4,0.55,0.5,129.01951789855957
9,20,100,0.45,0.7,4,0.45,0.4,139.12052297592163
10,20,100,0.5,0.7,4,0.4,0.55,147.26104283332825
11,20,100,0.55,0.7,4,0.35,0.25,139.18281197547913
12,20,100,0.6000000000000001,0.7,4,0.6,0.65,126.62716007232666
13,20,100,0.65,0.7,4,0.45,0.35,124.54762291908264
14,20,100,0.7000000000000001,0.7,4,0.4,0.25,126.62832021713257
15,20,100,0.75,0.7,4,0.65,0.3,131.13153886795044
16,20,100,0.8,0.7,4,0.5,0.55,134.84803199768066
17,20,100,0.8500000000000001,0.7,4,0.55,0.5,136.46818900108337
18,20,100,0.9,0.7,4,0.6,0.5,135.0968520641327
19,20,100,0.9500000000000001,0.7,4,0.75,0.3,130.68266105651855
20,20,100,1.0,0.7,4,0.55,0.6,123.92565083503723
