,m,n,p,s,K,corr,ind,time
0,20,100,0.5,0.0,4,1.0,1.0,11.945428848266602
1,20,100,0.5,0.05,4,0.6,0.45,115.2591941356659
2,20,100,0.5,0.1,4,0.45,0.6,112.47556781768799
3,20,100,0.5,0.15000000000000002,4,0.45,0.55,113.67544913291931
4,20,100,0.5,0.2,4,0.55,0.6,112.16657376289368
5,20,100,0.5,0.25,4,0.55,0.45,112.561203956604
6,20,100,0.5,0.30000000000000004,4,0.5,0.45,115.36639380455017
7,20,100,0.5,0.35000000000000003,4,0.5,0.45,117.76157522201538
8,20,100,0.5,0.4,4,0.35,0.45,111.66598916053772
9,20,100,0.5,0.45,4,0.5,0.45,114.44369697570801
10,20,100,0.5,0.5,4,0.5,0.25,121.27744793891907
11,20,100,0.5,0.55,4,0.4,0.25,121.63678908348083
12,20,100,0.5,0.6000000000000001,4,0.55,0.5,123.929358959198
13,20,100,0.5,0.65,4,0.5,0.55,135.72628498077393
14,20,100,0.5,0.7000000000000001,4,0.3,0.55,142.66306614875793
15,20,100,0.5,0.75,4,0.55,0.45,150.16723585128784
16,20,100,0.5,0.8,4,0.4,0.25,155.23455691337585
17,20,100,0.5,0.8500000000000001,4,0.35,0.35,153.27605199813843
18,20,100,0.5,0.9,4,0.3,0.35,156.96149516105652
19,20,100,0.5,0.9500000000000001,4,0.35,0.25,156.07584619522095
20,20,100,0.5,1.0,4,0.4,0.35,152.6170470714569
