,m,n,p,H,K,rec,exp,err
0,3,10,0.5,0-1-1,2,21.26984126984127,20.0,0.05970149253731338
1,3,20,0.5,0-1-1,2,199.57142857142856,190.0,0.04795991410164635
2,3,30,0.5,0-1-1,2,700.9523809523811,676.6666666666666,0.034646739130435034
3,3,40,0.5,0-1-1,2,1563.2857142857144,1646.6666666666665,-0.05333698863809411
4,3,50,0.5,0-1-1,2,3254.6666666666665,3266.6666666666665,-0.0036870135190496534
5,3,60,0.5,0-1-1,2,5559.523809523809,5703.333333333333,-0.025867237687366096
6,3,70,0.5,0-1-1,2,9573.095238095239,9123.333333333332,0.04698186882881106
7,3,80,0.5,0-1-1,2,13804.904761904761,13693.333333333332,0.008082013639044816
8,3,90,0.5,0-1-1,2,20245.841269841272,19580.0,0.03288780451090101
9,3,100,0.5,0-1-1,2,26057.349206349205,26950.0,-0.034257160487886074
10,3,110,0.5,0-1-1,2,36667.09523809524,35970.0,0.0190114660997468
11,3,120,0.5,0-1-1,2,45939.69841269841,46806.666666666664,-0.018871875173839037
12,3,130,0.5,0-1-1,2,60345.666666666664,59626.666666666664,0.011914691471909045
13,3,140,0.5,0-1-1,2,73539.33333333333,74596.66666666666,-0.014377793289758634
14,3,150,0.5,0-1-1,2,91878.39682539682,91883.33333333333,-5.3728712157363745e-05
15,3,160,0.5,0-1-1,2,112249.68253968254,111653.33333333333,0.00531270283226315
16,3,170,0.5,0-1-1,2,135881.98412698414,134073.3333333333,0.013310453223590035
17,3,180,0.5,0-1-1,2,160080.9523809524,159310.0,0.004816015706339161
18,3,190,0.5,0-1-1,2,189911.7619047619,187530.0,0.012541413343088892
19,3,200,0.5,0-1-1,2,214868.3650793651,218900.0,-0.018763278247804216
0,3,210,0.5,0-1-1,2,251983.01587301586,253586.66666666666,-0.006364122550461593
1,3,220,0.5,0-1-1,2,292672.9841269841,291756.6666666666,0.00313085768080279
2,3,230,0.5,0-1-1,2,335165.92063492065,333576.6666666666,0.004741693204498354
3,3,240,0.5,0-1-1,2,378524.2380952381,379213.3333333333,-0.0018204785024145131
4,3,250,0.5,0-1-1,2,430943.9682539683,428833.3333333333,0.004897701502092011
5,3,260,0.5,0-1-1,2,478957.0317460317,482603.3333333333,-0.007613003559022946
6,3,270,0.5,0-1-1,2,537682.4603174604,540690.0,-0.0055935238816677835
7,3,280,0.5,0-1-1,2,601680.5873015873,603260.0,-0.0026250019225251275
8,3,290,0.5,0-1-1,2,670577.2698412699,670480.0,0.000145053889603175
9,3,300,0.5,0-1-1,2,748836.4285714285,742516.6666666666,0.008439442398412988
0,3,310,0.5,0-1-1,2,821196.3650793651,819536.6666666666,0.00202107374469207
1,3,320,0.5,0-1-1,2,899970.7142857142,901706.6666666666,-0.0019288987445889028
2,3,330,0.5,0-1-1,2,976235.7460317459,989193.3333333333,-0.013273010493887405
3,3,340,0.5,0-1-1,2,1084770.142857143,1082163.3333333333,0.002403098519050073
4,3,350,0.5,0-1-1,2,1168497.6666666667,1180783.3333333333,-0.010514070346167914
5,3,360,0.5,0-1-1,2,1289951.761904762,1285220.0,0.0036681696513789497
6,3,370,0.5,0-1-1,2,1407901.5714285716,1395640.0,0.008709111259908586
7,3,380,0.5,0-1-1,2,1525211.4920634923,1512210.0,0.008524386376018156
8,3,390,0.5,0-1-1,2,1641407.1269841269,1635096.6666666665,0.003844543022702096
9,3,400,0.5,0-1-1,2,1769069.0158730159,1764466.6666666665,0.002601565662534777
0,3,410,0.5,0-1-1,2,1908618.3174603174,1900486.6666666665,0.004260490805972794
1,3,420,0.5,0-1-1,2,2027062.3809523808,2043323.3333333333,-0.008021929928625271
2,3,430,0.5,0-1-1,2,2186900.253968254,2193143.333333333,-0.0028547618272714015
3,3,440,0.5,0-1-1,2,2354028.952380953,2350113.333333333,0.0016633691117772242
4,3,450,0.5,0-1-1,2,2517400.777777778,2514400.0,0.0011920143205910172
0,3,460,0.5,0-1-1,2,2677319.9365079366,2686170.0,-0.003305568143494586
1,3,470,0.5,0-1-1,2,2875626.158730159,2865590.0,0.0034900777000133054
2,3,480,0.5,0-1-1,2,3063743.2063492066,3052826.6666666665,0.003563137948349282
3,3,490,0.5,0-1-1,2,3249176.222222222,3248046.6666666665,0.0003476436728270249
4,3,500,0.5,0-1-1,2,3442092.301587302,3451416.6666666665,-0.0027089236029680386
