File A,File B,Iterations,Similarity,n
UCSB37,UC64,100.0,0.9999964818277199,3.0
UCSB37,UC64,100.0,0.9937992018290569,4.0
UCSB37,UC64,100.0,0.9830215161136596,5.0
UCSB37,UC64,100.0,0.5923302821343,6.0
UCSB37,Mich67,100.0,0.9999941779223467,3.0
UCSB37,Mich67,100.0,0.9965445798897419,4.0
UCSB37,Mich67,100.0,0.9987074394912668,5.0
UCSB37,Mich67,100.0,0.9352467669297501,6.0
UCSB37,Brown11,100.0,0.9999986473706067,3.0
UCSB37,Brown11,100.0,0.9966012856976412,4.0
UCSB37,Brown11,100.0,0.9931876704482725,5.0
UCSB37,Brown11,100.0,0.9704759147027494,6.0
UCSB37,Wake73,100.0,0.9999979027050945,3.0
UCSB37,Wake73,100.0,0.9947624861822096,4.0
UCSB37,Wake73,100.0,0.9722772443667292,5.0
UCSB37,Wake73,100.0,0.844741061894507,6.0
UCSB37,MSU24,100.0,0.9999972655390457,3.0
UCSB37,MSU24,100.0,-0.32553764880191666,4.0
UCSB37,Stanford3,100.0,0.9999990369510943,3.0
UCSB37,Stanford3,100.0,0.9999798031526798,4.0
UCSB37,Stanford3,100.0,0.9981099411759888,5.0
UCSB37,Stanford3,100.0,0.9961126885220184,6.0
UCSB37,Duke14,100.0,0.999999002448161,3.0
UCSB37,Duke14,100.0,0.9962571730416813,4.0
UCSB37,Duke14,100.0,0.9483633575397693,5.0
UCSB37,Duke14,100.0,0.6254846274683866,6.0
UCSB37,UCSC68,100.0,0.999998072462361,3.0
UCSB37,UCSC68,100.0,0.9998752295880025,4.0
UCSB37,UCSC68,100.0,0.9990026296193635,5.0
UCSB37,UCSC68,100.0,0.9565797923192582,6.0
UCSB37,Rice31,100.0,0.999998050608629,3.0
UCSB37,Rice31,100.0,0.9999872751539943,4.0
UCSB37,Rice31,100.0,0.997788748863846,5.0
UCSB37,Rice31,100.0,0.9387069924313197,6.0
UCSB37,Tulane29,100.0,0.9999986753114236,3.0
UCSB37,Tulane29,100.0,0.998910778921965,4.0
UCSB37,Tulane29,100.0,0.9796669017748019,5.0
UCSB37,Tulane29,100.0,0.7718039215391105,6.0
UCSB37,Lehigh96,100.0,0.9999978610612016,3.0
UCSB37,Lehigh96,100.0,0.997597348178278,4.0
UCSB37,Lehigh96,100.0,0.9889634061769303,5.0
UCSB37,Lehigh96,100.0,0.9313758954417959,6.0
UCSB37,NYU9,100.0,0.9999983213776558,3.0
UCSB37,NYU9,100.0,0.1679691304177622,4.0
UCSB37,NYU9,100.0,0.4990800830154408,5.0
UCSB37,Penn94,100.0,0.9999978296536868,3.0
UCSB37,Syracuse56,100.0,0.9999986438427468,3.0
UCSB37,Syracuse56,100.0,0.9894031000036394,4.0
UCSB37,Syracuse56,100.0,0.9197323405134998,5.0
UCSB37,Syracuse56,100.0,0.5915762607894487,6.0
UCSB37,UC61,100.0,0.9999983993844692,3.0
UCSB37,UC61,100.0,0.9996309974013008,4.0
UCSB37,UC61,100.0,0.999691073206702,5.0
UCSB37,UC61,100.0,0.48952734669551023,6.0
UCSB37,Trinity100,100.0,0.9999970937136476,3.0
UCSB37,Trinity100,100.0,0.9998917682098056,4.0
UCSB37,Trinity100,100.0,0.9960180626072195,5.0
UCSB37,Trinity100,100.0,0.9287601859665519,6.0
UCSB37,UCSD34,100.0,0.9999981673653253,3.0
UCSB37,UCSD34,100.0,0.5648116296035013,4.0
UCSB37,UCSD34,100.0,0.5053258588075851,5.0
UCSB37,UCSD34,100.0,0.25380809952470523,6.0
UCSB37,Maine59,100.0,0.9999979312644193,3.0
UCSB37,Maine59,100.0,0.9867516367043899,4.0
UCSB37,Maine59,100.0,0.9222308175465357,5.0
UCSB37,Maine59,100.0,0.5086163414512567,6.0
UCSB37,MIT8,100.0,0.9999980472836361,3.0
UCSB37,MIT8,100.0,0.999751316392371,4.0
UCSB37,MIT8,100.0,0.9997801352545402,5.0
UCSB37,MIT8,100.0,0.9957373885208549,6.0
UCSB37,UGA50,100.0,0.999999155000472,3.0
UCSB37,UGA50,100.0,0.9519404167686648,4.0
UCSB37,Brandeis99,100.0,0.9999945273344766,3.0
UCSB37,Brandeis99,100.0,0.33958093944425705,4.0
UCSB37,Brandeis99,100.0,0.43530697059440693,5.0
UCSB37,Brandeis99,100.0,0.27465245204296085,6.0
UCSB37,UCF52,100.0,0.9999922615911812,3.0
UCSB37,UCF52,100.0,-0.49191467129617084,4.0
UCSB37,UCF52,100.0,0.3615762223151592,5.0
UCSB37,UCF52,100.0,0.24597499288920116,6.0
UCSB37,UPenn7,100.0,0.9999991311274107,3.0
UCSB37,UPenn7,100.0,0.9980077613244188,4.0
UCSB37,UPenn7,100.0,0.967509514060866,5.0
UCSB37,FSU53,100.0,0.9999989784472209,3.0
UCSB37,FSU53,100.0,0.9149541732435065,4.0
UCSB37,Caltech36,100.0,0.9999838565049491,3.0
UCSB37,Caltech36,100.0,0.9998092510933624,4.0
UCSB37,Caltech36,100.0,0.9977168281157601,5.0
UCSB37,Caltech36,100.0,0.9337758495502383,6.0
UCSB37,Rochester38,100.0,0.9999968075439343,3.0
UCSB37,Rochester38,100.0,0.9779401566546178,4.0
UCSB37,Rochester38,100.0,0.8706186490196605,5.0
UCSB37,Rochester38,100.0,0.4999526208922053,6.0
UCSB37,Oberlin44,100.0,0.9999948907610892,3.0
UCSB37,Oberlin44,100.0,0.9979265413999847,4.0
UCSB37,Oberlin44,100.0,0.9997103576849603,5.0
UCSB37,Oberlin44,100.0,0.9701698412918156,6.0
UCSB37,Vanderbilt48,100.0,0.9999984913380974,3.0
UCSB37,Vanderbilt48,100.0,0.9673056389447845,4.0
UCSB37,Vanderbilt48,100.0,0.7726204780706634,5.0
UCSB37,Vanderbilt48,100.0,0.4004737201972966,6.0
UCSB37,USF51,100.0,0.999997641291997,3.0
UCSB37,USF51,100.0,0.9068494021225117,4.0
UCSB37,USF51,100.0,0.9493757204214192,5.0
UCSB37,USF51,100.0,-0.03322495633728017,6.0
UCSB37,GWU54,100.0,0.9999982063268379,3.0
UCSB37,GWU54,100.0,0.7935982718589538,4.0
UCSB37,GWU54,100.0,0.6256141559753764,5.0
UCSB37,GWU54,100.0,0.2854003370379223,6.0
UCSB37,WashU32,100.0,0.9999985604291073,3.0
UCSB37,WashU32,100.0,0.9740109230580323,4.0
UCSB37,WashU32,100.0,0.8621044935132544,5.0
UCSB37,WashU32,100.0,0.46578269488423757,6.0
UCSB37,USC35,100.0,0.9999982002021551,3.0
UCSB37,USC35,100.0,0.04198496569260479,4.0
UCSB37,USC35,100.0,0.3979324984336631,5.0
UCSB37,JohnsHopkins55,100.0,0.9999981735344459,3.0
UCSB37,JohnsHopkins55,100.0,0.9981483566954332,4.0
UCSB37,JohnsHopkins55,100.0,0.9925488801770818,5.0
UCSB37,JohnsHopkins55,100.0,0.9415995921541982,6.0
UCSB37,Cal65,100.0,0.999998627706513,3.0
UCSB37,Cal65,100.0,0.9990711193068192,4.0
UCSB37,Cal65,100.0,0.9977329576361802,5.0
UCSB37,Cal65,100.0,0.9433600415785626,6.0
UCSB37,BU10,100.0,0.9999985348784701,3.0
UCSB37,BU10,100.0,0.9137466995351801,4.0
UCSB37,BU10,100.0,0.6971350379968185,5.0
UCSB37,Princeton12,100.0,0.999998511162781,3.0
UCSB37,Princeton12,100.0,0.9996101377944153,4.0
