File A,File B,Iterations,Similarity,n
UCSB37,UC64,1000.0,0.9832855898996412,5.0
UCSB37,Mich67,1000.0,0.9987134396602283,5.0
UCSB37,Brown11,1000.0,0.9932039079596763,5.0
UCSB37,Wake73,1000.0,0.9722353012389549,5.0
UCSB37,MSU24,1000.0,0.36406834994773773,5.0
UCSB37,Stanford3,1000.0,0.9981121324151657,5.0
UCSB37,Duke14,1000.0,0.9479583625085071,5.0
UCSB37,UCSC68,1000.0,0.9990124179631117,5.0
UCSB37,Rice31,1000.0,0.9977923870962317,5.0
UCSB37,Tulane29,1000.0,0.979913613640874,5.0
UCSB37,Lehigh96,1000.0,0.9890169460508,5.0
UCSB37,NYU9,1000.0,0.4990805580972451,5.0
UCSB37,Penn94,1000.0,0.3902995130625706,5.0
UCSB37,Syracuse56,1000.0,0.9192275262699524,5.0
UCSB37,UC61,1000.0,0.9996932715572885,5.0
UCSB37,Trinity100,1000.0,0.9959870269512424,5.0
UCSB37,UCSD34,1000.0,0.5055728083076602,5.0
UCSB37,Maine59,1000.0,0.9221827264609055,5.0
UCSB37,MIT8,1000.0,0.9997762643046898,5.0
UCSB37,UGA50,1000.0,0.7185026070512306,5.0
UCSB37,Brandeis99,1000.0,0.435123508328398,5.0
UCSB37,UCF52,1000.0,0.3614220928287056,5.0
UCSB37,UPenn7,1000.0,0.967400533024468,5.0
UCSB37,FSU53,1000.0,0.6815015147884479,5.0
UCSB37,Caltech36,1000.0,0.997738373803101,5.0
UCSB37,Rochester38,1000.0,0.8708839081578602,5.0
UCSB37,Oberlin44,1000.0,0.9997045782680275,5.0
UCSB37,Vanderbilt48,1000.0,0.7719116033309034,5.0
UCSB37,USF51,1000.0,0.9491127257806358,5.0
UCSB37,GWU54,1000.0,0.6255102629892015,5.0
UCSB37,WashU32,1000.0,0.8611313781425728,5.0
UCSB37,USC35,1000.0,0.3978954911564142,5.0
UCSB37,JohnsHopkins55,1000.0,0.9924407003208497,5.0
UCSB37,Cal65,1000.0,0.997732611724561,5.0
UCSB37,BU10,1000.0,0.6970793672789035,5.0
UCSB37,Princeton12,1000.0,0.9983726073696736,5.0
UCSB37,Maryland58,1000.0,0.3875578644553387,5.0
UCSB37,Amherst41,1000.0,0.9974168682423769,5.0
UCSB37,Vassar85,1000.0,0.9973530752344016,5.0
UCSB37,USFCA72,1000.0,0.9999313932764499,5.0
UCSB37,Wesleyan43,1000.0,0.9979164388102637,5.0
UCSB37,Yale4,1000.0,0.6203675038633945,5.0
UCSB37,MU78,1000.0,0.9983001266242592,5.0
UCSB37,UIllinois20,1000.0,0.40291012789095787,5.0
UCSB37,Hamilton46,1000.0,0.9990823941617204,5.0
UCSB37,Middlebury45,1000.0,0.9973270776505547,5.0
UCSB37,UConn91,1000.0,0.8300006924476622,5.0
UCSB37,American75,1000.0,0.9839918432101314,5.0
UCSB37,Villanova62,1000.0,0.9747059237905521,5.0
UCSB37,Bowdoin47,1000.0,0.9997748746906124,5.0
UCSB37,Williams40,1000.0,0.9993802938105418,5.0
UCSB37,UNC28,1000.0,0.40705975051965315,5.0
UCSB37,Tennessee95,1000.0,0.38549410800889117,5.0
UCSB37,Reed98,1000.0,0.9997314794935196,5.0
UCSB37,Baylor93,1000.0,0.8719829646921062,5.0
UCSB37,UVA16,1000.0,0.4893307489449793,5.0
UCSB37,Emory27,1000.0,0.9991505532654578,5.0
UCSB37,Indiana69,1000.0,0.9893786777736053,5.0
UCSB37,UC33,1000.0,0.888068640787039,5.0
UCSB37,Auburn71,1000.0,0.3949336072758547,5.0
UCSB37,NotreDame57,1000.0,0.9362013691195094,5.0
UCSB37,Wisconsin87,1000.0,0.38291041703565415,5.0
UCSB37,Texas80,1000.0,0.9547450810071728,5.0
UCSB37,Howard90,1000.0,0.9962409185720533,5.0
UCSB37,JMU79,1000.0,0.38481376771569253,5.0
UCSB37,Mississippi66,1000.0,0.9881505693262786,5.0
UCSB37,Simmons81,1000.0,0.999334825425207,5.0
UCSB37,Colgate88,1000.0,0.9988962670435768,5.0
UCSB37,Santa74,1000.0,0.980213236245237,5.0
UCSB37,Temple83,1000.0,0.6374503207324138,5.0
UCSB37,Texas84,1000.0,0.37473514996844465,5.0
UCSB37,Oklahoma97,1000.0,0.7014568146825082,5.0
UCSB37,Wellesley22,1000.0,0.9924658737184837,5.0
UCSB37,Michigan23,1000.0,0.8450623763596671,5.0
UCSB37,Northeastern19,1000.0,0.9179999720333967,5.0
UCSB37,Northwestern25,1000.0,0.709259659816886,5.0
UCSB37,Georgetown15,1000.0,0.9848917852357378,5.0
UCSB37,UCLA26,1000.0,0.9944811495849171,5.0
UCSB37,Cornell5,1000.0,0.44774980112894713,5.0
UCSB37,UF21,1000.0,0.3594897472179435,5.0
UCSB37,William77,1000.0,0.9402106528959526,5.0
UCSB37,Harvard1,1000.0,0.9998946888162146,5.0
UCSB37,Carnegie49,1000.0,0.9942143663687004,5.0
UCSB37,Vermont70,1000.0,0.9405170537132074,5.0
UCSB37,Bingham82,1000.0,0.9981654454595033,5.0
UCSB37,UChicago30,1000.0,0.6108121258189724,5.0
UCSB37,BC17,1000.0,0.9658177623692688,5.0
UCSB37,Smith60,1000.0,0.9962349950464986,5.0
UCSB37,Columbia2,1000.0,0.41943281889189343,5.0
UCSB37,Dartmouth6,1000.0,0.9982949436526043,5.0
UCSB37,UMass92,1000.0,0.37266564178468276,5.0
UCSB37,Tufts18,1000.0,0.9995506887113871,5.0
UCSB37,Berkeley13,1000.0,0.4091940402171192,5.0
UCSB37,Virginia63,1000.0,0.3574713240584293,5.0
UCSB37,Pepperdine86,1000.0,0.9991535728316219,5.0
UCSB37,Rutgers89,1000.0,0.8040218222777966,5.0
UCSB37,Bucknell39,1000.0,0.9965350201967222,5.0
UC64,Mich67,1000.0,0.9909037286655029,5.0
UC64,Brown11,1000.0,0.9976504820626817,5.0
UC64,Wake73,1000.0,0.9982558959282709,5.0
UC64,MSU24,1000.0,0.5252714152392154,5.0
UC64,Stanford3,1000.0,0.992518907827788,5.0
UC64,Duke14,1000.0,0.9895559197772786,5.0
UC64,UCSC68,1000.0,0.9743803625786285,5.0
UC64,Rice31,1000.0,0.9693979951603829,5.0
UC64,Tulane29,1000.0,0.9994843314664805,5.0
UC64,Lehigh96,1000.0,0.9991045551626452,5.0
