File A,File B,Similarity,n
UCSB37,UCSB37,341624985610000.0,3.0
UCSB37,UCSB37,2.97239031322e+17,4.0
UCSB37,UCSB37,1.6991828649299998e+21,5.0
UCSB37,UCSB37,9.709101585279999e+23,6.0
UCSB37,UCSB37,1.3761118382259998e+28,7.0
UCSB37,UCSB37,9.350976366584232e+30,8.0
UCSB37,UC64,85018563380000.0,3.0
UCSB37,UC64,4.40076804034e+16,4.0
UCSB37,UC64,2.48238528197e+20,5.0
UCSB37,UC64,9.32344083413e+22,6.0
UCSB37,UC64,1.4684600738287e+27,7.0
UCSB37,UC64,2.6731563078334617e+30,8.0
UCSB37,Mich67,42189339229000.0,3.0
UCSB37,Mich67,2.18123968203e+16,4.0
UCSB37,Mich67,1.03746439635e+20,5.0
UCSB37,Mich67,2.9943500994669997e+22,6.0
UCSB37,Mich67,4.221975582948e+26,7.0
UCSB37,Mich67,1.4282667563374729e+29,8.0
UCSB37,Brown11,355036322970000.0,3.0
UCSB37,Brown11,4.709394898e+17,4.0
UCSB37,Brown11,3.099219757e+21,5.0
UCSB37,Brown11,3.741911039935e+24,6.0
UCSB37,Brown11,4.472703278626e+28,7.0
UCSB37,Brown11,9.210804167771058e+31,8.0
UCSB37,Wake73,284096336860000.0,3.0
UCSB37,Wake73,4.47749232072e+17,4.0
UCSB37,Wake73,3.2894123968399996e+21,5.0
UCSB37,Wake73,5.422298786260001e+24,6.0
UCSB37,Wake73,8.104935318651e+28,7.0
UCSB37,Wake73,3.806446454419562e+32,8.0
UCSB37,MSU24,920273549000000.0,3.0
UCSB37,MSU24,-8.5669454213e+17,4.0
UCSB37,MSU24,8.480552206488e+22,5.0
UCSB37,MSU24,1.28143467230001e+27,6.0
UCSB37,MSU24,1.557118276061421e+32,7.0
UCSB37,Stanford3,646594287300000.0,3.0
UCSB37,Stanford3,8.76037312264e+17,4.0
UCSB37,Stanford3,7.47965174698e+21,5.0
UCSB37,Stanford3,8.21122429839e+24,6.0
UCSB37,Stanford3,1.4099849160249998e+29,7.0
UCSB37,Stanford3,2.2823411273681198e+32,8.0
UCSB37,Duke14,540821050930000.0,3.0
UCSB37,Duke14,8.13407059072e+17,4.0
UCSB37,Duke14,6.69033088583e+21,5.0
UCSB37,Duke14,1.347841007592e+25,6.0
UCSB37,Duke14,2.802466470632e+29,7.0
UCSB37,Duke14,4.250980525308518e+33,8.0
UCSB37,UCSC68,115983855303000.0,3.0
UCSB37,UCSC68,8.92815169788e+16,4.0
UCSB37,UCSC68,3.04770942147e+20,5.0
UCSB37,UCSC68,1.9269382919712e+23,6.0
UCSB37,UCSC68,1.174239203873e+27,7.0
UCSB37,UCSC68,3.541512868757489e+29,8.0
UCSB37,Rice31,163440138708000.0,3.0
UCSB37,Rice31,2.45482074255e+17,4.0
UCSB37,Rice31,1.325382831034e+21,5.0
UCSB37,Rice31,1.72450677235e+24,6.0
UCSB37,Rice31,1.5335614672455997e+28,7.0
UCSB37,Rice31,7.599144852784539e+30,8.0
UCSB37,Tulane29,223290634480000.0,3.0
UCSB37,Tulane29,2.3621355225e+17,4.0
UCSB37,Tulane29,1.4007887070999997e+21,5.0
UCSB37,Tulane29,1.657797783071e+24,6.0
UCSB37,Tulane29,2.111609430115e+28,7.0
UCSB37,Tulane29,1.124360893238807e+32,8.0
UCSB37,Lehigh96,148977482620000.0,3.0
UCSB37,Lehigh96,1.87268445082e+17,4.0
UCSB37,Lehigh96,9.3053501331e+20,5.0
UCSB37,Lehigh96,1.1689470311689999e+24,6.0
UCSB37,Lehigh96,1.057956921255e+28,7.0
UCSB37,Lehigh96,3.2011402524981397e+31,8.0
UCSB37,NYU9,585753467030000.0,3.0
UCSB37,NYU9,1.08378767123e+17,4.0
UCSB37,NYU9,9.54244844644e+21,5.0
UCSB37,NYU9,3.6393844829933e+25,6.0
UCSB37,NYU9,1.8150550371373605e+30,7.0
UCSB37,NYU9,3.4653085234246693e+34,8.0
UCSB37,Penn94,1279108149020000.0,3.0
UCSB37,Penn94,-2.2565112988100004e+18,4.0
UCSB37,Penn94,1.0300242650879999e+23,5.0
UCSB37,Penn94,9.927128514097778e+26,6.0
UCSB37,Penn94,8.82914233446604e+31,7.0
UCSB37,Syracuse56,446716195590000.0,3.0
UCSB37,Syracuse56,5.04018257559e+17,4.0
UCSB37,Syracuse56,3.33209624125e+21,5.0
UCSB37,Syracuse56,5.169047312185e+24,6.0
UCSB37,Syracuse56,7.957711702601001e+28,7.0
UCSB37,Syracuse56,6.074634880320404e+32,8.0
UCSB37,UC61,344632185980000.0,3.0
UCSB37,UC61,2.40179536878e+17,4.0
UCSB37,UC61,2.05082211817e+21,5.0
UCSB37,UC61,2.809817942309e+23,6.0
UCSB37,UC61,2.3764604103400007e+28,7.0
UCSB37,UC61,6.883015941134002e+30,8.0
UCSB37,Trinity100,83125154616000.0,3.0
UCSB37,Trinity100,1.25740865615e+17,4.0
UCSB37,Trinity100,5.624795944949999e+20,5.0
UCSB37,Trinity100,7.223380928606e+23,6.0
UCSB37,Trinity100,5.487036079487001e+27,7.0
UCSB37,Trinity100,2.397674119109322e+30,8.0
UCSB37,UCSD34,309423728790000.0,3.0
UCSB37,UCSD34,1.19604831362e+17,4.0
UCSB37,UCSD34,3.44481297102e+21,5.0
UCSB37,UCSD34,1.4206775748295998e+25,6.0
UCSB37,UCSD34,6.2204971493379894e+29,7.0
UCSB37,UCSD34,1.2263653003374353e+34,8.0
UCSB37,Maine59,137359930115000.0,3.0
UCSB37,Maine59,1.003227671094e+17,4.0
UCSB37,Maine59,5.046324909810001e+20,5.0
UCSB37,Maine59,4.490293505418e+23,6.0
UCSB37,Maine59,7.014769081361999e+27,7.0
UCSB37,Maine59,4.5270753718259235e+31,8.0
UCSB37,MIT8,228876227300000.0,3.0
UCSB37,MIT8,2.35377682308e+17,4.0
UCSB37,MIT8,1.73090777863e+21,5.0
UCSB37,MIT8,1.196625832573e+24,6.0
UCSB37,MIT8,2.023757509953e+28,7.0
UCSB37,MIT8,1.1603616105486877e+31,8.0
UCSB37,UGA50,1217744257020000.0,3.0
UCSB37,UGA50,1.344961530889e+18,4.0
UCSB37,UGA50,1.86419442575e+22,5.0
UCSB37,UGA50,7.2113479982196e+25,6.0
UCSB37,UGA50,3.9618998416267e+30,7.0
UCSB37,Brandeis99,108251265587000.0,3.0
UCSB37,Brandeis99,4.6046285041e+16,4.0
UCSB37,Brandeis99,1.8346678695860002e+21,5.0
UCSB37,Brandeis99,8.788566800593002e+24,6.0
UCSB37,Brandeis99,3.137280358079622e+29,7.0
UCSB37,Brandeis99,5.349343815453892e+33,8.0
UCSB37,UCF52,373658046220000.0,3.0
UCSB37,UCF52,-9.64834895059e+17,4.0
UCSB37,UCF52,5.4197985765239994e+22,5.0
UCSB37,UCF52,8.06468606709075e+26,6.0
UCSB37,UCF52,8.78948276151971e+31,7.0
UCSB37,UCF52,4.1478822788451334e+36,8.0
UCSB37,UPenn7,666659540660000.0,3.0
