File A,File B,Iterations,Similarity,n
UCSB37,UCSB37,100.0,341269759625300.0,3.0
UCSB37,UCSB37,100.0,2.956210309576001e+17,4.0
UCSB37,UCSB37,100.0,1.6852534605838004e+21,5.0
UCSB37,UCSB37,100.0,9.569662085137602e+23,6.0
UCSB37,UC64,100.0,85627676135880.0,3.0
UCSB37,UC64,100.0,4.383871398017499e+16,4.0
UCSB37,UC64,100.0,2.4548814831844003e+20,5.0
UCSB37,UC64,100.0,8.661948730898097e+22,6.0
UCSB37,Mich67,100.0,42037186086980.0,3.0
UCSB37,Mich67,100.0,2.165274314699e+16,4.0
UCSB37,Mich67,100.0,1.0322686569184598e+20,5.0
UCSB37,Mich67,100.0,2.8891477159563498e+22,6.0
UCSB37,Brown11,100.0,354732050819900.0,3.0
UCSB37,Brown11,100.0,4.7040144815880006e+17,4.0
UCSB37,Brown11,100.0,3.0723756487387995e+21,5.0
UCSB37,Brown11,100.0,3.7076123394455e+24,6.0
UCSB37,Wake73,100.0,283342107302600.0,3.0
UCSB37,Wake73,100.0,4.437258947895301e+17,4.0
UCSB37,Wake73,100.0,3.271102188259401e+21,5.0
UCSB37,Wake73,100.0,5.263860950256201e+24,6.0
UCSB37,MSU24,100.0,920583067747200.0,3.0
UCSB37,MSU24,100.0,-8.423040209868e+17,4.0
UCSB37,Stanford3,100.0,645546581343500.0,3.0
UCSB37,Stanford3,100.0,8.740994437016092e+17,4.0
UCSB37,Stanford3,100.0,7.466549668944597e+21,5.0
UCSB37,Stanford3,100.0,8.1348350615386e+24,6.0
UCSB37,Duke14,100.0,539864840726200.0,3.0
UCSB37,Duke14,100.0,8.134087953136301e+17,4.0
UCSB37,Duke14,100.0,6.684910490189804e+21,5.0
UCSB37,Duke14,100.0,1.2638142811872603e+25,6.0
UCSB37,UCSC68,100.0,115732425953690.0,3.0
UCSB37,UCSC68,100.0,8.901019133873301e+16,4.0
UCSB37,UCSC68,100.0,3.0419457507567e+20,5.0
