File A,File B,Iterations,Similarity,n
UCSB37,UCSB37,1000.0,1.6854778554626705e+21,5.0
UCSB37,UC64,1000.0,2.4582901440714192e+20,5.0
UCSB37,Mich67,1000.0,1.0319471113832473e+20,5.0
UCSB37,Brown11,1000.0,3.0718295797986985e+21,5.0
UCSB37,Wake73,1000.0,3.270349467794947e+21,5.0
UCSB37,MSU24,1000.0,8.257398733138769e+22,5.0
UCSB37,Stanford3,1000.0,7.466534520243503e+21,5.0
UCSB37,Duke14,1000.0,6.688906265590606e+21,5.0
UCSB37,UCSC68,1000.0,3.041931398248312e+20,5.0
UCSB37,Rice31,1000.0,1.31979023394508e+21,5.0
UCSB37,Tulane29,1000.0,1.39384411826582e+21,5.0
UCSB37,Lehigh96,1000.0,9.179687066593611e+20,5.0
UCSB37,NYU9,1000.0,9.459872440229671e+21,5.0
UCSB37,Penn94,1000.0,1.0267064180048771e+23,5.0
UCSB37,Syracuse56,1000.0,3.3382842276607694e+21,5.0
UCSB37,UC61,1000.0,2.0425668381206305e+21,5.0
UCSB37,Trinity100,1000.0,5.627077378224801e+20,5.0
UCSB37,UCSD34,1000.0,3.420355491643525e+21,5.0
UCSB37,Maine59,1000.0,4.9942036208793754e+20,5.0
UCSB37,MIT8,1000.0,1.7230615820426803e+21,5.0
UCSB37,UGA50,1000.0,1.8785250089056877e+22,5.0
UCSB37,Brandeis99,1000.0,1.6968985137166871e+21,5.0
UCSB37,UCF52,1000.0,5.460424326878894e+22,5.0
UCSB37,UPenn7,1000.0,6.707776451196949e+21,5.0
UCSB37,FSU53,1000.0,9.85986735699271e+21,5.0
UCSB37,Caltech36,1000.0,1.3510686394587714e+19,5.0
UCSB37,Rochester38,1000.0,6.88143630674913e+20,5.0
UCSB37,Oberlin44,1000.0,2.158624281849031e+20,5.0
UCSB37,Vanderbilt48,1000.0,6.936818129432683e+21,5.0
UCSB37,USF51,1000.0,9.531734315932203e+20,5.0
UCSB37,GWU54,1000.0,4.616316251570131e+21,5.0
UCSB37,WashU32,1000.0,4.1160398856842835e+21,5.0
UCSB37,USC35,1000.0,4.756108445892209e+22,5.0
UCSB37,JohnsHopkins55,1000.0,9.037294467271391e+20,5.0
UCSB37,Cal65,1000.0,9.516613136423094e+20,5.0
UCSB37,BU10,1000.0,3.178933527605151e+21,5.0
