,m,n,p,H,K,rec,exp,err
0,3,10,0.5,0-1-1,2,30.38095238095238,20.0,0.34169278996865204
1,3,20,0.5,0-1-1,2,385.93650793650795,190.0,0.5076910421979106
2,3,30,0.5,0-1-1,2,1427.936507936508,676.6666666666667,0.5261227212094264
3,3,40,0.5,0-1-1,2,3466.5396825396824,1646.6666666666665,0.5249826000952416
4,3,50,0.5,0-1-1,2,6341.777777777778,3266.6666666666665,0.4848973298759549
5,3,60,0.5,0-1-1,2,11250.952380952382,5703.333333333333,0.4930799509036272
6,3,70,0.5,0-1-1,2,18639.492063492064,9123.333333333334,0.5105374490755249
7,3,80,0.5,0-1-1,2,27134.79365079365,13693.333333333334,0.4953588551452712
8,3,90,0.5,0-1-1,2,38692.857142857145,19580.0,0.4939634484031752
9,3,100,0.5,0-1-1,2,54206.95238095239,26950.0,0.5028313008522893
10,3,110,0.5,0-1-1,2,72398.85714285714,35970.0,0.5031689529432193
11,3,120,0.5,0-1-1,2,93977.49206349207,46806.666666666664,0.5019374784438422
12,3,130,0.5,0-1-1,2,119689.07936507936,59626.66666666667,0.501820324937152
13,3,140,0.5,0-1-1,2,149604.15873015873,74596.66666666666,0.5013730413656696
14,3,150,0.5,0-1-1,2,185607.3650793651,91883.33333333333,0.504958581282352
15,3,160,0.5,0-1-1,2,219656.38095238095,111653.33333333333,0.49169091810932397
16,3,170,0.5,0-1-1,2,269588.4761904762,134073.3333333333,0.5026740933889008
