File A,File B,n,Similarity
UC64.txt,Tulane29.txt,5,1.06009e+13
WashU32.txt,USFCA72.txt,5,7.64548e+12
Columbia2.txt,Tulane29.txt,5,2.14024e+14
UC64.txt,Emory27.txt,5,8.87827e+12
UCSC68.txt,Georgetown15.txt,5,7.42396e+12
WashU32.txt,UCSC68.txt,5,6.54295e+12
Maine59.txt,Santa74.txt,5,7.94734e+12
Wesleyan43.txt,Stanford3.txt,5,6.3371e+12
Wesleyan43.txt,Trinity100.txt,5,4.06441e+12
American75.txt,Mississippi66.txt,5,9.03792e+12
GWU54.txt,BC17.txt,5,3.19202e+13
GWU54.txt,Bowdoin47.txt,5,1.09772e+13
Middlebury45.txt,Howard90.txt,5,6.0409e+12
American75.txt,Syracuse56.txt,5,1.03943e+13
Dartmouth6.txt,Auburn71.txt,5,2.3535e+13
Northwestern25.txt,Smith60.txt,5,1.00586e+13
Northwestern25.txt,Brown11.txt,5,1.36652e+13
Dartmouth6.txt,Columbia2.txt,5,2.72674e+14
Northwestern25.txt,UChicago30.txt,5,1.6777e+13
UPenn7.txt,Stanford3.txt,5,8.14811e+12
Oklahoma97.txt,Wake73.txt,5,1.61221e+13
Oklahoma97.txt,Emory27.txt,5,1.6453e+13
UPenn7.txt,Trinity100.txt,5,5.22226e+12
Mich67.txt,Wellesley22.txt,5,8.88834e+12
Columbia2.txt,Villanova62.txt,5,6.43284e+14
Middlebury45.txt,Hamilton46.txt,5,4.57862e+12
Middlebury45.txt,Pepperdine86.txt,5,5.29679e+12
Columbia2.txt,Smith60.txt,5,1.61132e+14
MIT8.txt,Santa74.txt,5,1.12364e+13
William77.txt,Yale4.txt,5,6.81339e+12
Bowdoin47.txt,Bowdoin47.txt,5,4.44841e+12
MIT8.txt,Stanford3.txt,5,1.12919e+13
MIT8.txt,Wesleyan43.txt,5,7.42765e+12
Vassar85.txt,Syracuse56.txt,5,7.2818e+12
Columbia2.txt,UPenn7.txt,5,2.10679e+14
Baylor93.txt,Wellesley22.txt,5,1.60691e+13
Vanderbilt48.txt,Brown11.txt,5,9.67985e+12
Vanderbilt48.txt,Williams40.txt,5,8.1249e+12
Princeton12.txt,Maine59.txt,5,7.0241e+12
UChicago30.txt,UCSC68.txt,5,7.815e+12
Bingham82.txt,Wellesley22.txt,5,5.79774e+12
UChicago30.txt,Mississippi66.txt,5,9.93561e+12
Princeton12.txt,Wesleyan43.txt,5,5.25219e+12
Princeton12.txt,Cal65.txt,5,7.52473e+12
Maine59.txt,Rice31.txt,5,6.25446e+12
Wake73.txt,UPenn7.txt,5,5.76936e+12
Wake73.txt,Pepperdine86.txt,5,5.4076e+12
Colgate88.txt,BC17.txt,5,6.54778e+12
Colgate88.txt,Williams40.txt,5,4.16327e+12
Harvard1.txt,Tufts18.txt,5,9.60051e+12
Cal65.txt,Pepperdine86.txt,5,7.19766e+12
Cal65.txt,UPenn7.txt,5,7.68453e+12
Harvard1.txt,Emory27.txt,5,7.89335e+12
Cal65.txt,Tufts18.txt,5,8.0932e+12
Harvard1.txt,Brandeis99.txt,5,5.6346e+13
Harvard1.txt,Vassar85.txt,5,7.26946e+12
Colgate88.txt,Amherst41.txt,5,4.23326e+12
Cal65.txt,Duke14.txt,5,7.52564e+12
Wake73.txt,Wake73.txt,5,4.82015e+12
Colgate88.txt,Brandeis99.txt,5,2.94526e+13
Maine59.txt,Smith60.txt,5,5.8685e+12
Princeton12.txt,UChicago30.txt,5,8.01467e+12
Wake73.txt,Mich67.txt,5,7.64973e+12
UChicago30.txt,Williams40.txt,5,6.71567e+12
Bingham82.txt,Santa74.txt,5,6.64136e+12
Princeton12.txt,Rice31.txt,5,5.88576e+12
Princeton12.txt,Colgate88.txt,5,4.98568e+12
UChicago30.txt,Wesleyan43.txt,5,6.35594e+12
Vanderbilt48.txt,Amherst41.txt,5,7.66937e+12
Vanderbilt48.txt,Auburn71.txt,5,8.74174e+13
Baylor93.txt,Santa74.txt,5,2.93879e+13
