,m,n,p,s,K,corr,ind,time
0,20,10,0.2,0.7,4,0.05,0.25,2.4387929439544678
1,20,20,0.2,0.7,4,0.5,0.6,5.903282880783081
2,20,30,0.2,0.7,4,0.45,0.35,10.220675706863403
3,20,40,0.2,0.7,4,0.5,0.55,20.30856704711914
4,20,50,0.2,0.7,4,0.55,0.6,30.88142466545105
5,20,60,0.2,0.7,4,0.4,0.6,41.4036979675293
6,20,70,0.2,0.7,4,0.4,0.6,59.447569847106934
7,20,80,0.2,0.7,4,0.35,0.5,88.30604815483093
8,20,90,0.2,0.7,4,0.3,0.35,107.77580690383911
9,20,100,0.2,0.7,4,0.6,0.55,127.64864301681519
10,20,110,0.2,0.7,4,0.3,0.5,155.08781123161316
11,20,120,0.2,0.7,4,0.45,0.4,175.83762621879578
12,20,130,0.2,0.7,4,0.15,0.55,185.07197999954224
13,20,140,0.2,0.7,4,0.4,0.5,216.1833369731903
14,20,150,0.2,0.7,4,0.6,0.35,258.43733310699463
15,20,160,0.2,0.7,4,0.5,0.6,296.89983105659485
16,20,170,0.2,0.7,4,0.2,0.35,330.1956388950348
17,20,180,0.2,0.7,4,0.35,0.5,365.5837199687958
18,20,190,0.2,0.7,4,0.5,0.6,398.8225328922272
19,20,200,0.2,0.7,4,0.15,0.45,1072.900859117508
20,20,210,0.2,0.7,4,0.65,0.4,541.1033568382263
21,20,220,0.2,0.7,4,0.55,0.4,536.7832832336426
22,20,230,0.2,0.7,4,0.5,0.5,583.810122013092
23,20,240,0.2,0.7,4,0.3,0.55,631.7534511089325
24,20,250,0.2,0.7,4,0.35,0.4,688.4566481113434
25,20,260,0.2,0.7,4,0.4,0.6,746.6134068965912
26,20,270,0.2,0.7,4,0.6,0.45,806.8588168621063
27,20,280,0.2,0.7,4,0.4,0.45,875.8009757995605
28,20,290,0.2,0.7,4,0.3,0.4,960.9257469177246
29,20,300,0.2,0.7,4,0.45,0.5,1014.667140007019
30,20,310,0.2,0.7,4,0.5,0.25,1086.653962135315
31,20,320,0.2,0.7,4,0.5,0.3,1150.7671308517456
32,20,330,0.2,0.7,4,0.35,0.35,1239.249128818512
33,20,340,0.2,0.7,4,0.35,0.6,1283.260202884674
34,20,350,0.2,0.7,4,0.45,0.45,1375.5636060237885
35,20,360,0.2,0.7,4,0.4,0.6,1520.2823338508606
36,20,370,0.2,0.7,4,0.45,0.3,1704.7100229263306
37,20,380,0.2,0.7,4,0.4,0.4,2064.9663560390472
38,20,390,0.2,0.7,4,0.3,0.4,2072.3639171123505
39,20,400,0.2,0.7,4,0.35,0.2,1865.1846573352814
40,20,410,0.2,0.7,4,0.35,0.45,1968.8507509231567
41,20,420,0.2,0.7,4,0.35,0.25,2241.924357175827
42,20,430,0.2,0.7,4,0.35,0.35,2102.9001400470734
43,20,440,0.2,0.7,4,0.3,0.3,2187.45885682106
44,20,450,0.2,0.7,4,0.3,0.25,2292.930037021637
45,20,460,0.2,0.7,4,0.35,0.15,2401.545389652252
46,20,470,0.2,0.7,4,0.35,0.45,2510.266278028488
47,20,480,0.2,0.7,4,0.4,0.65,2673.432545900345
48,20,490,0.2,0.7,4,0.3,0.4,2850.919188976288
49,20,500,0.2,0.7,4,0.25,0.25,3084.1327641010284
