,m,n,p,s,K,corr,ind,time
0,20,100,0.5,0.0,3,1.0,1.0,5.329588413238525
1,20,100,0.5,0.05,3,0.6,0.35,37.560497999191284
2,20,100,0.5,0.1,3,0.6,0.55,37.044318199157715
3,20,100,0.5,0.15000000000000002,3,0.65,0.55,35.15089392662048
4,20,100,0.5,0.2,3,0.25,0.6,35.0305278301239
5,20,100,0.5,0.25,3,0.6,0.5,37.238383769989014
6,20,100,0.5,0.30000000000000004,3,0.5,0.55,36.37603497505188
7,20,100,0.5,0.35000000000000003,3,0.55,0.55,36.51599717140198
8,20,100,0.5,0.4,3,0.3,0.4,36.478779792785645
9,20,100,0.5,0.45,3,0.5,0.5,37.05698204040527
10,20,100,0.5,0.5,3,0.55,0.3,36.80413484573364
11,20,100,0.5,0.55,3,0.35,0.55,39.92552900314331
12,20,100,0.5,0.6000000000000001,3,0.4,0.45,39.43452310562134
13,20,100,0.5,0.65,3,0.4,0.3,37.736902713775635
14,20,100,0.5,0.7000000000000001,3,0.5,0.2,38.21596598625183
15,20,100,0.5,0.75,3,0.25,0.45,38.177186012268066
16,20,100,0.5,0.8,3,0.15,0.35,38.35544395446777
17,20,100,0.5,0.8500000000000001,3,0.15,0.15,38.21783089637756
18,20,100,0.5,0.9,3,0.15,0.35,38.22090411186218
19,20,100,0.5,0.9500000000000001,3,0.2,0.0,38.31538796424866
20,20,100,0.5,1.0,3,0.05,0.1,38.41506314277649
