,m,n,p,H,K,rec,exp,err
0,3,310,0.5,0-1-1,2,821196.3650793651,819536.6666666666,0.00202107374469207
1,3,320,0.5,0-1-1,2,899970.7142857142,901706.6666666666,-0.0019288987445889028
2,3,330,0.5,0-1-1,2,976235.7460317459,989193.3333333333,-0.013273010493887405
3,3,340,0.5,0-1-1,2,1084770.142857143,1082163.3333333333,0.002403098519050073
4,3,350,0.5,0-1-1,2,1168497.6666666667,1180783.3333333333,-0.010514070346167914
5,3,360,0.5,0-1-1,2,1289951.761904762,1285220.0,0.0036681696513789497
6,3,370,0.5,0-1-1,2,1407901.5714285716,1395640.0,0.008709111259908586
7,3,380,0.5,0-1-1,2,1525211.4920634923,1512210.0,0.008524386376018156
8,3,390,0.5,0-1-1,2,1641407.1269841269,1635096.6666666665,0.003844543022702096
9,3,400,0.5,0-1-1,2,1769069.0158730159,1764466.6666666665,0.002601565662534777
